,C,JPM,USB,WFC,BAC,MS
20140625 20:13:03,43.01,46.76,57.41,52.08,15.57,32.09
20140625 20:13:04,43.01,46.77,57.41,52.08,15.57,32.09
20140625 20:13:05,43.01,46.76,57.41,52.08,15.57,32.07
20140625 20:13:06,43.01,46.76,57.41,52.07,15.57,32.07
20140625 20:13:07,43.01,46.75,57.42,52.07,15.57,32.09
20140625 20:13:08,43.02,46.75,57.41,52.07,15.57,32.09
20140625 20:13:09,43.02,46.75,57.42,52.09,15.59,32.09
20140625 20:13:10,43.02,46.75,57.43,52.07,15.59,32.09
20140625 20:13:11,43.02,46.75,57.43,52.07,15.59,32.09
20140625 20:13:12,43.04,46.75,57.41,52.06,15.59,32.07
20140625 20:13:13,43.04,46.75,57.41,52.07,15.57,32.07
20140625 20:13:14,43.04,46.75,57.41,52.06,15.57,32.09
20140625 20:13:15,43.04,46.75,57.43,52.07,15.57,32.09
20140625 20:13:16,43.04,46.75,57.43,52.07,15.57,32.09
20140625 20:13:17,43.06,46.75,57.43,52.07,15.57,32.11
20140625 20:13:18,43.06,46.75,57.43,52.07,15.57,32.11
20140625 20:13:19,43.06,46.75,57.43,52.07,15.56,32.09
20140625 20:13:20,43.06,46.75,57.43,52.07,15.56,32.09
20140625 20:13:21,43.06,46.75,57.43,52.07,15.56,32.09
20140625 20:13:22,43.06,46.75,57.43,52.04,15.56,32.09
20140625 20:13:23,43.02,46.75,57.43,52.04,15.56,32.09
20140625 20:13:24,43.02,46.75,57.43,52.04,15.56,32.09
20140625 20:13:25,43.02,46.75,57.43,52.04,15.56,32.09
20140625 20:13:26,43.02,46.77,57.43,52.04,15.56,32.09
20140625 20:13:27,43.02,46.77,57.43,52.04,15.56,32.09
20140625 20:13:28,43.02,46.77,57.43,52.04,15.56,32.09
20140625 20:13:29,43.02,46.77,57.43,52.04,15.56,32.09
20140625 20:13:30,43.02,46.78,57.43,52.06,15.55,32.09
20140625 20:13:31,43.02,46.78,57.43,52.05,15.57,32.09
20140625 20:13:32,43.02,46.78,57.43,52.05,15.57,32.09
20140625 20:13:33,43.02,46.78,57.43,52.04,15.55,32.09
20140625 20:13:34,43.02,46.78,57.43,52.05,15.55,32.09
20140625 20:13:35,43.02,46.78,57.43,52.05,15.55,32.09
20140625 20:13:36,43.02,46.78,57.43,52.05,15.55,32.09
20140625 20:13:37,43.02,46.77,57.43,52.06,15.55,32.09
20140625 20:13:38,43.02,46.78,57.43,52.05,15.55,32.09
20140625 20:13:39,43.02,46.77,57.43,52.05,15.55,32.09
20140625 20:13:40,43.02,46.78,57.43,52.07,15.55,32.09
20140625 20:13:41,43.02,46.78,57.43,52.07,15.57,32.09
20140625 20:13:42,43.02,46.79,57.43,52.07,15.57,32.09
20140625 20:13:43,43.02,46.78,57.43,52.05,15.57,32.11
20140625 20:13:44,43.02,46.78,57.43,52.05,15.57,32.09
20140625 20:13:45,43.02,46.79,57.43,52.05,15.57,32.09
20140625 20:13:46,43.02,46.79,57.43,52.05,15.57,32.09
20140625 20:13:47,43.02,46.78,57.42,52.05,15.55,32.09
20140625 20:13:48,43.02,46.78,57.42,52.05,15.55,32.08
20140625 20:13:49,43.02,46.8,57.42,52.09,15.55,32.08
20140625 20:13:50,43.02,46.79,57.42,52.07,15.55,32.08
20140625 20:13:51,43.02,46.79,57.42,52.07,15.56,32.09
20140625 20:13:52,43.02,46.79,57.42,52.07,15.56,32.09
20140625 20:13:53,43.09,46.8,57.42,52.06,15.56,32.09
20140625 20:13:54,43.09,46.8,57.42,52.05,15.56,32.09
20140625 20:13:55,43.09,46.8,57.42,52.05,15.56,32.09
20140625 20:13:56,43.11,46.8,57.42,52.06,15.56,32.09
20140625 20:13:57,43.11,46.8,57.41,52.05,15.55,32.07
20140625 20:13:58,43.11,46.81,57.41,52.05,15.55,32.07
20140625 20:13:59,43.11,46.8,57.41,52.05,15.55,32.07
20140625 20:14:00,43.11,46.8,57.41,52.05,15.55,32.07
20140625 20:14:01,43.11,46.8,57.41,52.05,15.55,32.09
20140625 20:14:02,43.11,46.8,57.41,52.05,15.55,32.09
20140625 20:14:03,43.11,46.82,57.41,52.06,15.56,32.09
20140625 20:14:04,43.11,46.8,57.41,52.06,15.56,32.09
20140625 20:14:05,43.11,46.8,57.41,52.06,15.56,32.09
20140625 20:14:06,43.11,46.8,57.41,52.06,15.56,32.09
20140625 20:14:07,43.11,46.8,57.41,52.06,15.56,32.09
20140625 20:14:08,43.11,46.8,57.41,52.06,15.56,32.09
20140625 20:14:09,43.11,46.81,57.41,52.05,15.55,32.09
20140625 20:14:10,43.11,46.81,57.41,52.05,15.55,32.09
20140625 20:14:11,43.11,46.81,57.42,52.02,15.57,32.09
20140625 20:14:12,43.11,46.81,57.41,52.02,15.57,32.09
20140625 20:14:13,43.11,46.8,57.41,52.03,15.56,32.11
20140625 20:14:14,43.11,46.81,57.41,52.03,15.56,32.11
20140625 20:14:15,43.11,46.8,57.42,52.04,15.56,32.11
20140625 20:14:16,43.11,46.8,57.42,52.05,15.56,32.11
20140625 20:14:17,43.11,46.79,57.42,52.05,15.56,32.09
20140625 20:14:18,43.11,46.81,57.41,52.05,15.56,32.09
20140625 20:14:19,43.11,46.8,57.41,52.04,15.56,32.11
20140625 20:14:20,43.11,46.81,57.41,52.04,15.56,32.11
20140625 20:14:21,43.11,46.81,57.41,52.05,15.56,32.11
20140625 20:14:22,43.09,46.81,57.41,52.05,15.56,32.09
20140625 20:14:23,43.09,46.81,57.41,52.05,15.55,32.09
20140625 20:14:24,43.09,46.81,57.41,52.05,15.55,32.09
20140625 20:14:25,43.09,46.8,57.4,52.04,15.55,32.09
20140625 20:14:26,43.09,46.8,57.4,52.04,15.55,32.09
20140625 20:14:27,43.09,46.8,57.41,52.04,15.55,32.09
20140625 20:14:28,43.09,46.81,57.41,52.04,15.55,32.07
20140625 20:14:29,43.09,46.8,57.41,52.06,15.55,32.07
20140625 20:14:30,43.09,46.8,57.41,52.06,15.55,32.07
20140625 20:14:31,43.09,46.8,57.41,52.06,15.55,32.07
20140625 20:14:32,43.09,46.8,57.41,52.05,15.55,32.07
20140625 20:14:33,43.09,46.8,57.41,52.05,15.55,32.07
20140625 20:14:34,43.09,46.79,57.41,52.06,15.55,32.07
20140625 20:14:35,43.09,46.79,57.41,52.06,15.55,32.07
20140625 20:14:36,43.09,46.79,57.41,52.06,15.55,32.07
20140625 20:14:37,43.09,46.79,57.41,52.06,15.55,32.07
20140625 20:14:38,43.09,46.79,57.41,52.06,15.55,32.07
20140625 20:14:39,43.09,46.8,57.41,52.06,15.54,32.09
20140625 20:14:40,43.09,46.8,57.41,52.05,15.55,32.09
20140625 20:14:41,43.11,46.8,57.41,52.05,15.55,32.09
20140625 20:14:42,43.11,46.8,57.4,52.09,15.55,32.09
20140625 20:14:43,43.11,46.8,57.4,52.09,15.54,32.09
20140625 20:14:44,43.11,46.8,57.4,52.09,15.54,32.09
20140625 20:14:45,43.11,46.8,57.4,52.07,15.54,32.09
20140625 20:14:46,43.11,46.78,57.4,52.07,15.54,32.09
20140625 20:14:47,43.11,46.79,57.4,52.07,15.54,32.09
20140625 20:14:48,43.11,46.79,57.4,52.07,15.54,32.09
20140625 20:14:49,43.11,46.79,57.4,52.07,15.54,32.09
20140625 20:14:50,43.11,46.79,57.4,52.07,15.54,32.09
20140625 20:14:51,43.09,46.8,57.41,52.06,15.54,32.09
20140625 20:14:52,43.09,46.79,57.42,52.06,15.54,32.09
20140625 20:14:53,43.09,46.8,57.42,52.06,15.54,32.1
20140625 20:14:54,43.09,46.8,57.42,52.07,15.54,32.1
20140625 20:14:55,43.09,46.8,57.42,52.07,15.54,32.1
20140625 20:14:56,43.09,46.8,57.42,52.07,15.54,32.09
20140625 20:14:57,43.09,46.8,57.42,52.07,15.54,32.09
20140625 20:14:58,43.09,46.8,57.41,52.08,15.54,32.11
20140625 20:14:59,43.09,46.79,57.41,52.08,15.54,32.09
20140625 20:15:00,43.09,46.79,57.41,52.08,15.54,32.09
20140625 20:15:01,43.09,46.79,57.43,52.08,15.54,32.1
20140625 20:15:02,43.09,46.79,57.43,52.08,15.54,32.1
20140625 20:15:03,43.09,46.79,57.43,52.08,15.54,32.1
20140625 20:15:04,43.09,46.79,57.41,52.07,15.54,32.09
20140625 20:15:05,43.09,46.79,57.41,52.07,15.54,32.09
20140625 20:15:06,43.09,46.79,57.41,52.07,15.54,32.09
20140625 20:15:07,43.09,46.79,57.41,52.06,15.54,32.09
20140625 20:15:08,43.09,46.79,57.42,52.06,15.54,32.09
20140625 20:15:09,43.09,46.79,57.42,52.06,15.54,32.09
20140625 20:15:10,43.09,46.79,57.41,52.09,15.54,32.09
20140625 20:15:11,43.09,46.79,57.41,52.09,15.54,32.09
20140625 20:15:12,43.09,46.79,57.41,52.1,15.54,32.09
20140625 20:15:13,43.09,46.79,57.41,52.11,15.54,32.09
20140625 20:15:14,43.09,46.79,57.41,52.1,15.54,32.09
20140625 20:15:15,43.09,46.79,57.41,52.09,15.54,32.09
20140625 20:15:16,43.09,46.79,57.41,52.09,15.54,32.09
20140625 20:15:17,43.09,46.79,57.43,52.09,15.54,32.09
20140625 20:15:18,43.09,46.79,57.42,52.09,15.54,32.09
20140625 20:15:19,43.09,46.79,57.42,52.1,15.54,32.1
20140625 20:15:20,43.16,46.79,57.42,52.1,15.54,32.1
20140625 20:15:21,43.17,46.79,57.42,52.09,15.54,32.09
20140625 20:15:22,43.17,46.79,57.41,52.1,15.54,32.1
20140625 20:15:23,43.18,46.79,57.41,52.1,15.54,32.1
20140625 20:15:24,43.18,46.79,57.4,52.1,15.54,32.1
20140625 20:15:25,43.18,46.79,57.4,52.07,15.54,32.11
20140625 20:15:26,43.18,46.79,57.4,52.07,15.54,32.11
20140625 20:15:27,43.18,46.79,57.38,52.07,15.54,32.11
20140625 20:15:28,43.14,46.79,57.38,52.07,15.54,32.11
20140625 20:15:29,43.14,46.79,57.38,52.09,15.54,32.11
20140625 20:15:30,43.14,46.79,57.37,52.08,15.54,32.1
20140625 20:15:31,43.14,46.79,57.37,52.08,15.54,32.1
20140625 20:15:32,43.16,46.79,57.37,52.09,15.54,32.1
20140625 20:15:33,43.16,46.79,57.37,52.08,15.54,32.1
20140625 20:15:34,43.16,46.79,57.37,52.08,15.54,32.1
20140625 20:15:35,43.14,46.79,57.37,52.09,15.54,32.1
20140625 20:15:36,43.14,46.79,57.38,52.09,15.54,32.1
20140625 20:15:37,43.15,46.79,57.38,52.09,15.54,32.1
20140625 20:15:38,43.15,46.79,57.37,52.09,15.54,32.1
20140625 20:15:39,43.15,46.79,57.37,52.09,15.54,32.1
20140625 20:15:40,43.14,46.79,57.37,52.09,15.54,32.1
20140625 20:15:41,43.14,46.79,57.37,52.07,15.54,32.09
20140625 20:15:42,43.14,46.79,57.38,52.07,15.54,32.09
20140625 20:15:43,43.14,46.79,57.38,52.05,15.54,32.09
20140625 20:15:44,43.14,46.79,57.38,52.07,15.54,32.1
20140625 20:15:45,43.14,46.79,57.37,52.07,15.54,32.1
20140625 20:15:46,43.13,46.79,57.37,52.06,15.54,32.1
20140625 20:15:47,43.13,46.79,57.37,52.06,15.54,32.1
20140625 20:15:48,43.13,46.79,57.38,52.06,15.54,32.1
20140625 20:15:49,43.17,46.79,57.38,52.09,15.54,32.1
20140625 20:15:50,43.17,46.79,57.38,52.07,15.54,32.09
20140625 20:15:51,43.17,46.79,57.38,52.07,15.54,32.09
20140625 20:15:52,43.17,46.79,57.38,52.07,15.54,32.09
20140625 20:15:53,43.17,46.79,57.38,52.05,15.54,32.09
