Server Version: 70
TWS Time at connection:20140703 23:38:31 CST
Market data farm connection is OK:ibdemo
Unhandled errcode:  <error id=-1, errorCode=2107, errorMsg=HMDS data farm connection is inactive but should be available upon demand.demohmds>
HMDS data farm connection is OK:demohmds
<historicalData reqId=1, date=20140703  23:33:00, open=58.13, high=58.15, low=58.11, close=58.12, volume=88, count=55, WAP=58.123, hasGaps=False>
<historicalData reqId=1, date=20140703  23:34:00, open=58.14, high=58.16, low=58.09, close=58.09, volume=87, count=62, WAP=58.13, hasGaps=False>
<historicalData reqId=1, date=20140703  23:35:00, open=58.1, high=58.11, low=58.07, close=58.11, volume=85, count=52, WAP=58.096, hasGaps=False>
<historicalData reqId=1, date=20140703  23:36:00, open=58.13, high=58.18, low=58.1, close=58.16, volume=73, count=55, WAP=58.138, hasGaps=False>
<historicalData reqId=1, date=20140703  23:37:00, open=58.16, high=58.2, low=58.15, close=58.17, volume=100, count=64, WAP=58.168, hasGaps=False>
<historicalData reqId=1, date=20140703  23:38:00, open=58.18, high=58.19, low=58.14, close=58.14, volume=31, count=29, WAP=58.159, hasGaps=False>
<historicalData reqId=1, date=finished-20140702  23:38:32-20140703  23:38:32, open=-1, high=-1, low=-1, close=-1, volume=-1, count=-1, WAP=-1, hasGaps=False>
<historicalData reqId=2, date=20140703  23:00:00, open=43.47, high=43.5, low=43.45, close=43.46, volume=150, count=70, WAP=43.463, hasGaps=False>
<historicalData reqId=2, date=20140703  23:01:00, open=43.47, high=43.52, low=43.45, close=43.48, volume=118, count=69, WAP=43.47, hasGaps=False>
<historicalData reqId=2, date=20140703  23:02:00, open=43.48, high=43.5, low=43.43, close=43.44, volume=104, count=68, WAP=43.446, hasGaps=False>
<historicalData reqId=2, date=20140703  23:03:00, open=43.44, high=43.45, low=43.4, close=43.41, volume=171, count=65, WAP=43.434, hasGaps=False>
<historicalData reqId=2, date=20140703  23:04:00, open=43.41, high=43.45, low=43.39, close=43.42, volume=142, count=67, WAP=43.412, hasGaps=False>
<historicalData reqId=2, date=20140703  23:05:00, open=43.42, high=43.43, low=43.4, close=43.41, volume=109, count=75, WAP=43.415, hasGaps=False>
<historicalData reqId=2, date=20140703  23:06:00, open=43.41, high=43.45, low=43.4, close=43.43, volume=130, count=69, WAP=43.429, hasGaps=False>
<historicalData reqId=2, date=20140703  23:07:00, open=43.43, high=43.45, low=43.38, close=43.4, volume=112, count=69, WAP=43.409, hasGaps=False>
<historicalData reqId=2, date=20140703  23:08:00, open=43.4, high=43.43, low=43.39, close=43.41, volume=133, count=68, WAP=43.417, hasGaps=False>
<historicalData reqId=2, date=20140703  23:09:00, open=43.42, high=43.43, low=43.36, close=43.38, volume=117, count=70, WAP=43.389, hasGaps=False>
<historicalData reqId=2, date=20140703  23:10:00, open=43.39, high=43.43, low=43.37, close=43.4, volume=101, count=66, WAP=43.396, hasGaps=False>
<historicalData reqId=2, date=20140703  23:11:00, open=43.4, high=43.41, low=43.36, close=43.37, volume=101, count=63, WAP=43.375, hasGaps=False>
<historicalData reqId=2, date=20140703  23:12:00, open=43.36, high=43.38, low=43.34, close=43.36, volume=132, count=63, WAP=43.361, hasGaps=False>
<historicalData reqId=2, date=20140703  23:13:00, open=43.38, high=43.4, low=43.36, close=43.4, volume=156, count=71, WAP=43.384, hasGaps=False>
<historicalData reqId=2, date=20140703  23:14:00, open=43.39, high=43.41, low=43.36, close=43.38, volume=160, count=67, WAP=43.381, hasGaps=False>
<historicalData reqId=2, date=20140703  23:15:00, open=43.38, high=43.38, low=43.36, close=43.37, volume=123, count=70, WAP=43.365, hasGaps=False>
<historicalData reqId=2, date=20140703  23:16:00, open=43.36, high=43.38, low=43.34, close=43.38, volume=124, count=69, WAP=43.357, hasGaps=False>
<historicalData reqId=2, date=20140703  23:17:00, open=43.39, high=43.4, low=43.36, close=43.39, volume=138, count=71, WAP=43.388, hasGaps=False>
<historicalData reqId=2, date=20140703  23:18:00, open=43.39, high=43.4, low=43.36, close=43.36, volume=100, count=67, WAP=43.369, hasGaps=False>
<historicalData reqId=2, date=20140703  23:19:00, open=43.36, high=43.39, low=43.34, close=43.34, volume=230, count=72, WAP=43.368, hasGaps=False>
<historicalData reqId=2, date=20140703  23:20:00, open=43.35, high=43.39, low=43.34, close=43.39, volume=111, count=70, WAP=43.366, hasGaps=False>
<historicalData reqId=2, date=20140703  23:21:00, open=43.39, high=43.4, low=43.36, close=43.37, volume=91, count=66, WAP=43.374, hasGaps=False>
<historicalData reqId=2, date=20140703  23:22:00, open=43.37, high=43.38, low=43.34, close=43.37, volume=131, count=66, WAP=43.364, hasGaps=False>
<historicalData reqId=2, date=20140703  23:23:00, open=43.37, high=43.38, low=43.34, close=43.35, volume=105, count=72, WAP=43.361, hasGaps=False>
<historicalData reqId=2, date=20140703  23:24:00, open=43.35, high=43.38, low=43.34, close=43.36, volume=88, count=63, WAP=43.362, hasGaps=False>
<historicalData reqId=2, date=20140703  23:25:00, open=43.38, high=43.4, low=43.36, close=43.36, volume=108, count=70, WAP=43.382, hasGaps=False>
<historicalData reqId=2, date=20140703  23:26:00, open=43.37, high=43.4, low=43.36, close=43.38, volume=210, count=73, WAP=43.375, hasGaps=False>
<historicalData reqId=2, date=20140703  23:27:00, open=43.4, high=43.4, low=43.36, close=43.4, volume=134, count=73, WAP=43.38, hasGaps=False>
<historicalData reqId=2, date=20140703  23:28:00, open=43.4, high=43.41, low=43.37, close=43.39, volume=129, count=68, WAP=43.391, hasGaps=False>
<historicalData reqId=2, date=20140703  23:29:00, open=43.38, high=43.4, low=43.37, close=43.38, volume=92, count=65, WAP=43.388, hasGaps=False>
<historicalData reqId=2, date=20140703  23:30:00, open=43.39, high=43.4, low=43.37, close=43.39, volume=143, count=70, WAP=43.388, hasGaps=False>
<historicalData reqId=2, date=20140703  23:31:00, open=43.4, high=43.43, low=43.38, close=43.43, volume=111, count=67, WAP=43.41, hasGaps=False>
<historicalData reqId=2, date=20140703  23:32:00, open=43.43, high=43.44, low=43.41, close=43.43, volume=134, count=69, WAP=43.427, hasGaps=False>
<historicalData reqId=2, date=20140703  23:33:00, open=43.42, high=43.43, low=43.39, close=43.39, volume=97, count=66, WAP=43.412, hasGaps=False>
<historicalData reqId=2, date=20140703  23:34:00, open=43.41, high=43.43, low=43.37, close=43.39, volume=120, count=69, WAP=43.398, hasGaps=False>
<historicalData reqId=2, date=20140703  23:35:00, open=43.39, high=43.4, low=43.35, close=43.37, volume=151, count=70, WAP=43.375, hasGaps=False>
<historicalData reqId=2, date=20140703  23:36:00, open=43.36, high=43.36, low=43.31, close=43.32, volume=149, count=68, WAP=43.334, hasGaps=False>
<historicalData reqId=2, date=20140703  23:37:00, open=43.32, high=43.36, low=43.31, close=43.36, volume=127, count=72, WAP=43.34, hasGaps=False>
<historicalData reqId=2, date=20140703  23:38:00, open=43.36, high=43.36, low=43.34, close=43.34, volume=76, count=38, WAP=43.348, hasGaps=False>
<historicalData reqId=2, date=finished-20140702  23:38:33-20140703  23:38:33, open=-1, high=-1, low=-1, close=-1, volume=-1, count=-1, WAP=-1, hasGaps=False>
<historicalData reqId=3, date=20140703  23:00:00, open=51.4, high=51.45, low=51.4, close=51.41, volume=103, count=51, WAP=51.417, hasGaps=False>
<historicalData reqId=3, date=20140703  23:01:00, open=51.42, high=51.43, low=51.37, close=51.41, volume=138, count=85, WAP=51.4, hasGaps=False>
